Time,Num cells
0,10
1,10
2,10
3,12
4,12
5,12
6,12
7,13
8,13
9,13
10,14
11,14
12,14
13,14
14,14
15,16
16,16
17,16
18,16
19,16
20,16
21,16
22,17
23,17
24,18
25,19
26,19
27,19
28,19
29,19
30,20
31,21
32,21
33,22
34,22
35,23
36,25
37,26
38,26
39,26
40,27
41,27
42,27
43,27
44,28
45,28
46,30
47,30
48,31
49,33
50,33
51,34
52,34
53,34
54,35
55,35
56,37
57,38
58,39
59,40
60,40
61,41
62,41
63,44
64,45
65,45
66,46
67,47
68,49
69,51
70,53
71,53
72,53
73,54
74,56
75,56
76,56
77,58
78,60
79,60
80,63
81,63
82,68
83,68
84,68
85,70
86,70
87,70
88,74
89,78
90,80
91,82
92,85
93,85
94,85
95,87
96,89
97,92
98,94
99,95
100,98
101,100
102,106
103,109
104,111
105,111
106,112
107,113
108,119
109,121
110,121
111,126
112,127
113,132
114,133
115,136
116,142
117,144
118,147
119,148
120,149
121,152
122,158
123,166
124,169
125,172
126,176
127,178
128,182
129,186
130,194
131,198
132,199
133,206
134,208
135,216
136,224
137,230
138,231
139,235
140,237
141,245
142,255
143,256
144,261
145,266
146,271
147,280
148,282
149,296
150,302
151,305
152,312
153,316
154,319
155,333
156,341
157,353
158,358
159,371
160,375
161,381
162,392
163,402
164,413
165,422
166,432
167,440
168,449
169,464
170,474
171,485
172,492
173,502
174,512
175,529
176,538
177,547
178,556
179,567
180,583
181,593
182,612
183,627
184,636
185,649
186,662
187,675
188,688
189,710
190,736
191,748
192,770
193,783
194,797
195,818
196,843
197,860
198,883
199,896
200,916
201,932
202,952
203,983
204,1005
205,1024
206,1044
207,1068
208,1095
209,1119
210,1136
211,1158
212,1182
213,1206
214,1234
215,1263
216,1306
217,1332
218,1362
219,1393
220,1424
221,1451
222,1489
223,1521
224,1560
225,1588
226,1631
227,1664
228,1713
229,1760
230,1793
231,1836
232,1868
233,1908
234,1945
235,1995
236,2044
237,2084
238,2118
239,2163
240,2207
241,2256
242,2317
243,2358
244,2404
245,2461
246,2516
247,2578
248,2639
249,2697
250,2773
251,2831
252,2900
253,2957
254,3012
255,3073
256,3163
257,3236
258,3303
259,3376
260,3470
261,3543
262,3637
263,3712
264,3785
265,3860
266,3940
267,4016
268,4111
269,4198
270,4306
271,4394
272,4475
273,4561
274,4659
275,4753
276,4870
277,4958
278,5054
279,5145
280,5262
281,5368
282,5467
283,5565
284,5684
285,5799
286,5917
287,6017
288,6124
289,6211
290,6323
291,6432
292,6553
293,6671
294,6780
295,6864
296,6966
297,7063
298,7147
299,7234
300,7319
301,7413
302,7523
303,7607
304,7706
305,7811
306,7913
307,8002
308,8088
309,8192
310,8297
311,8400
312,8486
313,8604
314,8718
315,8843
316,8959
317,9057
318,9167
319,9269
320,9399
321,9503
322,9619
323,9731
